"Usage date and time","Org ID","Subscription ID","Project ID","App ID","Category","Charge Item","Usage Item ID","Resource ID","Raw Usage","Billable Usage","Usage Unit","Billing Tag"
"2024-05-17T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025254-draft/meta","2016.0000","0.0000","GB-Months","12954IMC"
"2024-05-24T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-002","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:0de834f6-7bfc-11ed-9f78-fe9c147f8b48/generated-lidar-layer","3552518256.0000","0.0046","GB-Months",""
"2024-05-30T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-4bc94e88-c3f8-41dd-90bc-51b58c81ece9-maps/artifacts","8616.0000","0.0000","GB-Months","12954IMC"
"2024-05-23T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-003","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:9083cf5f-b12f-11ed-86e4-3e066510641e/generated-lidar-layer","33469615200.0000","0.0433","GB-Months",""
"2024-05-30T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-002","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:0de834f6-7bfc-11ed-9f78-fe9c147f8b48/generated-lidar-layer","4060020864.0000","0.0053","GB-Months",""
"2024-05-09T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-4bc94e88-c3f8-41dd-90bc-51b58c81ece9-maps/artifacts","12924.0000","0.0000","GB-Months","12954IMC"
"2024-05-15T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025254-draft/indoor-map-release","0.0000","0.0000","GB-Months","12954IMC"
"2024-05-04T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-001","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:f5c0ae80-6fe6-11ed-bbfe-1ab8be56bd5d/generated-lidar-layer","150229440.0000","0.0002","GB-Months",""
"2024-05-02T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000027968-draft/indoor-map-release","0.0000","0.0000","GB-Months","12954IMC"
"2024-05-15T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-003","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:29b18827-beb2-11ed-8e3e-220511d91563/generated-lidar-layer","954533856.0000","0.0012","GB-Months",""
"2024-05-07T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-002","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:0de834f6-7bfc-11ed-9f78-fe9c147f8b48/generated-lidar-layer","4060020864.0000","0.0053","GB-Months",""
"2024-05-12T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-002","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:80c64300-ad71-11ed-8450-ba0d0beca4af/generated-lidar-layer","406673760.0000","0.0005","GB-Months",""
"2024-05-19T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025254-draft/indoor-map-release","0.0000","0.0000","GB-Months","12954IMC"
"2024-05-25T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-002","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:0de834f6-7bfc-11ed-9f78-fe9c147f8b48/generated-lidar-layer","3214183184.0000","0.0042","GB-Months",""
"2024-05-13T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025254-draft/meta","3456.0000","0.0000","GB-Months","12954IMC"
"2024-05-03T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-001","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:f5c0ae80-6fe6-11ed-bbfe-1ab8be56bd5d/generated-lidar-layer","150229440.0000","0.0002","GB-Months",""
"2024-05-23T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000027968-draft/meta","3432.0000","0.0000","GB-Months","12954IMC"
"2024-05-11T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-64f3dc76-fd8f-430e-a47b-32bf08249afc-collection/reports","5520.0000","0.0000","GB-Months","12954IMC"
"2024-05-18T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025731-draft/meta","2160.0000","0.0000","GB-Months","12954IMC"
"2024-05-06T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-001","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:7e36eb00-7228-11ed-898d-eedaf7a84445/generated-lidar-layer","1537408704.0000","0.0020","GB-Months",""
"2024-05-30T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000027968-draft/meta","3432.0000","0.0000","GB-Months","12954IMC"
"2024-05-21T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000027968-draft/indoor-map-release","0.0000","0.0000","GB-Months","12954IMC"
